Method,HotPotQA,HotPotQA LaTeX,ALFWorld,ALFWorld LaTeX,HumanEval Hard 50,HumanEval Hard 50 LaTeX
Simple,—,—,—,—,96.0 ± 0.0,$96.0 \pm 0.0$
CoT+GT,46.0 ± 0.0,$46.0 \pm 0.0$,—,—,92.7 ± 1.2,$92.7 \pm 1.2$
ReAct,48.7 ± 0.6,$48.7 \pm 0.6$,93.8 ± 4.1,$93.8 \pm 4.1$,—,—
Reflexion,50.0 ± 1.7,$50.0 \pm 1.7$,57.5 ± 3.9,$57.5 \pm 3.9$,92.0 ± 3.5,$92.0 \pm 3.5$
ExpeL,47.3 ± 1.2,$47.3 \pm 1.2$,41.0 ± 5.2,$41.0 \pm 5.2$,94.7 ± 3.1,$94.7 \pm 3.1$
RAR (Ours),52.0 ± 1.0,$52.0 \pm 1.0$,91.3 ± 2.6,$91.3 \pm 2.6$,94.0 ± 2.0,$94.0 \pm 2.0$
